location_name,count
Albany,612
Sacramento,612
Northeast,612
Northern New England,612
Orlando,612
Philadelphia,612
Phoenix/Tucson,612
Pittsburgh,612
Plains,612
Portland,612
Raleigh/Greensboro,612
Richmond/Norfolk,612
Roanoke,612
San Diego,612
Atlanta,612
San Francisco,612
Seattle,612
South Carolina,612
South Central,612
Southeast,612
Spokane,612
St. Louis,612
Syracuse,612
Tampa,612
Total U.S.,612
West,612
New York,612
New Orleans/Mobile,612
Nashville,612
Midsouth,612
Baltimore/Washington,612
Boise,612
Boston,612
Buffalo/Rochester,612
California,612
Charlotte,612
Chicago,612
Cincinnati/Dayton,612
Columbus,612
Dallas/Ft. Worth,612
Denver,612
Detroit,612
Grand Rapids,612
Great Lakes,612
Harrisburg/Scranton,612
Hartford/Springfield,612
Houston,612
Indianapolis,612
Jacksonville,612
Las Vegas,612
Los Angeles,612
Louisville,612
Miami/Ft. Lauderdale,612
West Tex/New Mexico,609
