average_price,4046,4225,4770,small_bags,large_bags,xlarge_bags,type,year,geography,week,location_level,location_lat,location_lon
1.22,2819.5,28287.42,49.9,9186.93,529.53,0.0,conventional,2015,Albany,1,Level 3,42.6525793,-73.7562317
1.0,364302.39,23821.16,82.15,16707.15,30108.64,0.0,conventional,2015,Atlanta,1,Level 3,33.748752,-84.38768449999999
1.08,53987.31,552906.04,39995.03,137146.07,3990.61,0.0,conventional,2015,Baltimore/Washington,1,Level 3,39.1775921,-76.6683889
1.01,44562.12,24964.23,2752.35,6064.3,1691.32,0.0,conventional,2015,Boise,1,Level 3,43.6150186,-116.2023137
1.02,7193.87,396752.18,128.82,87406.84,256.29,0.0,conventional,2015,Boston,1,Level 3,42.3600825,-71.0588801
1.4,3267.97,55693.04,109.55,57182.88,0.0,0.0,conventional,2015,Buffalo/Rochester,1,Level 3,43.15657789999999,-77.6088465
0.93,2843648.26,2267755.26,137479.64,477193.38,47882.56,3375.8,conventional,2015,California,1,Level 2,36.778261,-119.4179324
1.19,29419.03,47220.75,38568.95,44329.03,6468.53,0.0,conventional,2015,Charlotte,1,Level 3,35.2270869,-80.8431267
1.11,30270.26,550752.19,124506.1,72888.46,4651.02,0.0,conventional,2015,Chicago,1,Level 3,41.8781136,-87.6297982
0.88,3274.3,168764.78,1447.06,17525.31,37445.46,112.67,conventional,2015,Cincinnati/Dayton,1,Level 3,39.7589478,-84.1916069
0.89,80298.77,51860.47,7609.24,16518.15,2132.21,219.2,conventional,2015,Columbus,1,Level 3,39.9611755,-82.99879419999999
0.74,612795.8,374420.68,9817.28,54563.33,34760.08,6.8,conventional,2015,Dallas/Ft. Worth,1,Level 3,32.7078751,-96.9209135
0.99,117454.09,429518.41,5553.6,67894.33,47661.52,4.05,conventional,2015,Denver,1,Level 3,39.7392358,-104.990251
1.01,121634.27,117865.11,74062.76,46679.86,1060.51,8391.76,conventional,2015,Detroit,1,Level 3,42.331427,-83.0457538
0.95,1097.0,189348.6,22612.46,43899.46,1097.68,924.43,conventional,2015,Grand Rapids,1,Level 3,42.9633599,-85.6680863
1.02,467259.47,2059657.71,318102.38,412779.64,111072.91,13928.01,conventional,2015,Great Lakes,1,Level 2,45.0522366,-82.4846115
1.05,32679.84,121020.54,1286.19,47583.64,1368.93,0.0,conventional,2015,Harrisburg/Scranton,1,Level 3,40.2731911,-76.8867008
1.06,6387.6,267593.62,165.35,55401.31,2660.26,0.0,conventional,2015,Hartford/Springfield,1,Level 3,41.7658043,-72.6733723
0.71,506426.58,436347.57,4378.92,90299.85,25537.7,0.0,conventional,2015,Houston,1,Level 3,29.7604267,-95.3698028
1.02,4007.41,118435.79,1201.5,20325.41,16160.04,0.0,conventional,2015,Indianapolis,1,Level 3,39.768403,-86.158068
0.97,105203.79,19147.78,468.7,13653.15,15033.42,0.0,conventional,2015,Jacksonville,1,Level 3,30.3321838,-81.65565099999999
0.8,134003.07,120628.37,4591.23,58126.59,512.09,0.0,conventional,2015,Las Vegas,1,Level 3,36.171563,-115.1391009
0.85,1837999.65,524430.47,64225.78,215571.8,36981.72,2950.53,conventional,2015,Los Angeles,1,Level 3,34.0549076,-118.242643
0.92,1991.63,75090.16,283.88,7769.36,16027.95,0.0,conventional,2015,Louisville,1,Level 3,38.2526647,-85.7584557
0.97,398670.03,54844.33,39.07,38505.18,48175.61,0.0,conventional,2015,Miami/Ft. Lauderdale,1,Level 3,26.3013917,-80.6326916
1.1,575245.44,1311502.53,181058.65,429166.89,80986.81,314.8,conventional,2015,Midsouth,1,Level 2,,
1.0,113865.83,11083.58,11699.03,19681.13,5611.51,221.67,conventional,2015,Nashville,1,Level 3,36.1626638,-86.7816016
0.94,148384.22,14085.72,218.63,54422.22,5640.72,0.0,conventional,2015,New Orleans/Mobile,1,Level 3,29.95106579999999,-90.0715323
1.09,23641.0,1127882.44,1871.07,178683.01,70812.68,0.0,conventional,2015,New York,1,Level 3,40.7127753,-74.0059728
1.09,126640.65,2860709.93,7580.38,669970.5,94381.16,0.0,conventional,2015,Northeast,1,Level 2,43.2994285,-74.21793260000001
1.05,4966.76,264351.96,14.68,52490.37,0.0,0.0,conventional,2015,Northern New England,1,Level 3,43.9653889,-70.8226541
1.0,190743.27,38265.21,75.22,19933.7,32785.79,0.0,conventional,2015,Orlando,1,Level 3,28.5383832,-81.3789269
1.1,24190.91,294715.33,2121.45,72829.94,13817.93,0.0,conventional,2015,Philadelphia,1,Level 3,39.9525839,-75.1652215
0.65,770635.37,178418.32,6509.41,92499.06,0.0,0.0,conventional,2015,Phoenix/Tucson,1,Level 3,32.2539787,-110.9741769
1.52,3013.04,35456.88,1561.7,11264.8,3660.38,0.0,conventional,2015,Pittsburgh,1,Level 3,40.44062479999999,-79.9958864
1.01,1027842.3,466641.12,10476.89,177360.2,440.57,1034.22,conventional,2015,Plains,1,Level 2,,
0.97,126485.75,377138.79,19781.57,61308.73,15251.02,0.0,conventional,2015,Portland,1,Level 3,45.515232,-122.6783853
1.2,53316.16,72178.46,39928.01,44040.64,11623.19,0.0,conventional,2015,Raleigh/Greensboro,1,Level 3,36.0755917,-79.7590191
1.13,56293.75,80396.09,9762.41,31778.36,4467.36,0.0,conventional,2015,Richmond/Norfolk,1,Level 3,37.5407246,-77.4360481
1.13,48285.15,37562.78,34.1,21582.97,1750.0,0.0,conventional,2015,Roanoke,1,Level 3,37.2709704,-79.9414266
1.05,110693.69,270107.61,9737.5,39600.08,0.0,0.0,conventional,2015,Sacramento,1,Level 3,38.5815719,-121.4943996
0.94,244152.26,165299.33,15302.75,30884.29,5595.0,373.7,conventional,2015,San Diego,1,Level 3,32.715738,-117.1610838
