average_price,4046,4225,4770,small_bags,large_bags,xlarge_bags,type,year,geography,week,location_level,location_lat,location_lon
1.79,57.42,153.88,0.0,1162.65,0.0,0.0,organic,2015,Albany,1,Level 3,42.6525793,-73.7562317
1.76,1500.15,938.35,0.0,1071.35,336.84,0.0,organic,2015,Atlanta,1,Level 3,33.748752,-84.38768449999999
1.29,8040.64,6557.47,657.48,3881.69,0.0,0.0,organic,2015,Baltimore/Washington,1,Level 3,39.1775921,-76.6683889
1.64,1.27,1129.5,0.0,186.67,187.68,0.0,organic,2015,Boise,1,Level 3,43.6150186,-116.2023137
1.83,8.66,939.43,0.0,1244.04,0.0,0.0,organic,2015,Boston,1,Level 3,42.3600825,-71.0588801
1.73,0.0,59.82,0.0,320.0,0.0,0.0,organic,2015,Buffalo/Rochester,1,Level 3,43.15657789999999,-77.6088465
1.24,107490.73,25711.96,2.93,9144.15,0.0,0.0,organic,2015,California,1,Level 2,36.778261,-119.4179324
2.13,151.7,882.52,905.77,1025.63,0.0,0.0,organic,2015,Charlotte,1,Level 3,35.2270869,-80.8431267
1.49,1189.35,15628.27,0.0,905.55,0.0,0.0,organic,2015,Chicago,1,Level 3,41.8781136,-87.6297982
1.34,144.47,6921.75,0.0,585.96,1112.15,0.0,organic,2015,Cincinnati/Dayton,1,Level 3,39.7589478,-84.1916069
1.44,358.05,2432.81,0.0,444.17,695.91,0.0,organic,2015,Columbus,1,Level 3,39.9611755,-82.99879419999999
1.35,4634.7,1647.92,0.0,3613.34,0.0,0.0,organic,2015,Dallas/Ft. Worth,1,Level 3,32.7078751,-96.9209135
1.42,3199.35,6916.72,7.56,1076.67,11279.77,0.0,organic,2015,Denver,1,Level 3,39.7392358,-104.990251
1.7,361.76,5025.58,0.0,746.43,1312.66,0.0,organic,2015,Detroit,1,Level 3,42.331427,-83.0457538
1.6,23.59,772.85,0.0,210.0,6.17,0.0,organic,2015,Grand Rapids,1,Level 3,42.9633599,-85.6680863
1.54,3633.93,42963.06,0.0,9763.55,5254.56,0.0,organic,2015,Great Lakes,1,Level 2,45.0522366,-82.4846115
