average_price,4046,4225,4770,small_bags,large_bags,xlarge_bags,type,geography
1.22,2819.5,28287.42,49.9,9186.93,529.53,0.0,conventional,Albany
1.79,57.42,153.88,0.0,1162.65,0.0,0.0,organic,Albany
1.0,364302.39,23821.16,82.15,16707.15,30108.64,0.0,conventional,Atlanta
1.76,1500.15,938.35,0.0,1071.35,336.84,0.0,organic,Atlanta
1.08,53987.31,552906.04,39995.03,137146.07,3990.61,0.0,conventional,Baltimore/Washington
1.29,8040.64,6557.47,657.48,3881.69,0.0,0.0,organic,Baltimore/Washington
1.01,44562.12,24964.23,2752.35,6064.3,1691.32,0.0,conventional,Boise
1.64,1.27,1129.5,0.0,186.67,187.68,0.0,organic,Boise
1.02,7193.87,396752.18,128.82,87406.84,256.29,0.0,conventional,Boston
1.83,8.66,939.43,0.0,1244.04,0.0,0.0,organic,Boston
1.4,3267.97,55693.04,109.55,57182.88,0.0,0.0,conventional,Buffalo/Rochester
1.73,0.0,59.82,0.0,320.0,0.0,0.0,organic,Buffalo/Rochester
0.93,2843648.26,2267755.26,137479.64,477193.38,47882.56,3375.8,conventional,California
1.24,107490.73,25711.96,2.93,9144.15,0.0,0.0,organic,California
1.19,29419.03,47220.75,38568.95,44329.03,6468.53,0.0,conventional,Charlotte
2.13,151.7,882.52,905.77,1025.63,0.0,0.0,organic,Charlotte
1.11,30270.26,550752.19,124506.1,72888.46,4651.02,0.0,conventional,Chicago
1.49,1189.35,15628.27,0.0,905.55,0.0,0.0,organic,Chicago
0.88,3274.3,168764.78,1447.06,17525.31,37445.46,112.67,conventional,Cincinnati/Dayton
1.34,144.47,6921.75,0.0,585.96,1112.15,0.0,organic,Cincinnati/Dayton
0.89,80298.77,51860.47,7609.24,16518.15,2132.21,219.2,conventional,Columbus
1.44,358.05,2432.81,0.0,444.17,695.91,0.0,organic,Columbus
0.74,612795.8,374420.68,9817.28,54563.33,34760.08,6.8,conventional,Dallas/Ft. Worth
