date,average_price,type,year,geography,location_level,location_lat,location_lon
2015-01-04,1.22,conventional,2015,Albany,Level 3,42.6525793,-73.7562317
2015-01-04,1.79,organic,2015,Albany,Level 3,42.6525793,-73.7562317
2015-01-04,1.0,conventional,2015,Atlanta,Level 3,33.748752,-84.38768449999999
2015-01-04,1.76,organic,2015,Atlanta,Level 3,33.748752,-84.38768449999999
2015-01-04,1.08,conventional,2015,Baltimore/Washington,Level 3,39.1775921,-76.6683889
2015-01-04,1.29,organic,2015,Baltimore/Washington,Level 3,39.1775921,-76.6683889
2015-01-04,1.01,conventional,2015,Boise,Level 3,43.6150186,-116.2023137
2015-01-04,1.64,organic,2015,Boise,Level 3,43.6150186,-116.2023137
2015-01-04,1.02,conventional,2015,Boston,Level 3,42.3600825,-71.0588801
2015-01-04,1.83,organic,2015,Boston,Level 3,42.3600825,-71.0588801
2015-01-04,1.4,conventional,2015,Buffalo/Rochester,Level 3,43.15657789999999,-77.6088465
2015-01-04,1.73,organic,2015,Buffalo/Rochester,Level 3,43.15657789999999,-77.6088465
2015-01-04,0.93,conventional,2015,California,Level 2,36.778261,-119.4179324
2015-01-04,1.24,organic,2015,California,Level 2,36.778261,-119.4179324
2015-01-04,1.19,conventional,2015,Charlotte,Level 3,35.2270869,-80.8431267
2015-01-04,2.13,organic,2015,Charlotte,Level 3,35.2270869,-80.8431267
2015-01-04,1.11,conventional,2015,Chicago,Level 3,41.8781136,-87.6297982
2015-01-04,1.49,organic,2015,Chicago,Level 3,41.8781136,-87.6297982
2015-01-04,0.88,conventional,2015,Cincinnati/Dayton,Level 3,39.7589478,-84.1916069
2015-01-04,1.34,organic,2015,Cincinnati/Dayton,Level 3,39.7589478,-84.1916069
2015-01-04,0.89,conventional,2015,Columbus,Level 3,39.9611755,-82.99879419999999
2015-01-04,1.44,organic,2015,Columbus,Level 3,39.9611755,-82.99879419999999
2015-01-04,0.74,conventional,2015,Dallas/Ft. Worth,Level 3,32.7078751,-96.9209135
2015-01-04,1.35,organic,2015,Dallas/Ft. Worth,Level 3,32.7078751,-96.9209135
2015-01-04,0.99,conventional,2015,Denver,Level 3,39.7392358,-104.990251
2015-01-04,1.42,organic,2015,Denver,Level 3,39.7392358,-104.990251
2015-01-04,1.01,conventional,2015,Detroit,Level 3,42.331427,-83.0457538
2015-01-04,1.7,organic,2015,Detroit,Level 3,42.331427,-83.0457538
2015-01-04,0.95,conventional,2015,Grand Rapids,Level 3,42.9633599,-85.6680863
2015-01-04,1.6,organic,2015,Grand Rapids,Level 3,42.9633599,-85.6680863
2015-01-04,1.02,conventional,2015,Great Lakes,Level 2,45.0522366,-82.4846115
2015-01-04,1.54,organic,2015,Great Lakes,Level 2,45.0522366,-82.4846115
2015-01-04,1.05,conventional,2015,Harrisburg/Scranton,Level 3,40.2731911,-76.8867008
2015-01-04,1.68,organic,2015,Harrisburg/Scranton,Level 3,40.2731911,-76.8867008
2015-01-04,1.06,conventional,2015,Hartford/Springfield,Level 3,41.7658043,-72.6733723
2015-01-04,2.32,organic,2015,Hartford/Springfield,Level 3,41.7658043,-72.6733723
2015-01-04,0.71,conventional,2015,Houston,Level 3,29.7604267,-95.3698028
2015-01-04,1.22,organic,2015,Houston,Level 3,29.7604267,-95.3698028
2015-01-04,1.02,conventional,2015,Indianapolis,Level 3,39.768403,-86.158068
2015-01-04,1.63,organic,2015,Indianapolis,Level 3,39.768403,-86.158068
2015-01-04,0.97,conventional,2015,Jacksonville,Level 3,30.3321838,-81.65565099999999
2015-01-04,1.81,organic,2015,Jacksonville,Level 3,30.3321838,-81.65565099999999
2015-01-04,0.8,conventional,2015,Las Vegas,Level 3,36.171563,-115.1391009
2015-01-04,1.5,organic,2015,Las Vegas,Level 3,36.171563,-115.1391009
