average_price,total_volume,geography
1.22,40873.28,Albany
1.0,435021.49,Atlanta
1.08,788025.06,Baltimore/Washington
1.01,80034.32,Boise
1.02,491738.0,Boston
1.4,116253.44,Buffalo/Rochester
0.93,5777334.9,California
1.19,166006.29,Charlotte
1.11,783068.03,Chicago
0.88,228569.58,Cincinnati/Dayton
0.89,158638.04,Columbus
0.74,1086363.97,Dallas/Ft. Worth
0.99,668086.0,Denver
1.01,369694.27,Detroit
0.95,258979.63,Grand Rapids
1.02,3382800.12,Great Lakes
1.05,203939.14,Harrisburg/Scranton
1.06,332208.14,Hartford/Springfield
0.71,1062990.62,Houston
1.02,160130.15,Indianapolis
0.97,153506.84,Jacksonville
0.8,317861.35,Las Vegas
0.85,2682159.95,Los Angeles
0.92,101162.98,Louisville
0.97,540234.22,Miami/Ft. Lauderdale
1.1,2578275.12,Midsouth
1.0,162162.75,Nashville
0.94,222751.51,New Orleans/Mobile
1.09,1402890.2,New York
1.09,3759282.62,Northeast
1.05,321823.77,Northern New England
1.0,281803.19,Orlando
1.1,407675.56,Philadelphia
0.65,1048062.16,Phoenix/Tucson
1.52,54956.8,Pittsburgh
1.01,1683795.3,Plains
0.97,599965.86,Portland
1.2,221086.46,Raleigh/Greensboro
1.13,182697.97,Richmond/Norfolk
1.13,109215.0,Roanoke
1.05,430138.88,Sacramento
0.94,461607.33,San Diego
0.99,907795.89,San Francisco
0.97,634522.34,Seattle
1.01,309024.22,South Carolina
0.77,5144267.01,South Central
0.98,3204112.16,Southeast
1.0,84612.39,Spokane
1.15,198735.26,St. Louis
1.33,41143.51,Syracuse
0.97,339909.13,Tampa
0.95,31324277.73,Total U.S.
0.89,5794410.58,West
0.75,758118.95,West Tex/New Mexico
1.24,41195.08,Albany
1.11,397542.72,Atlanta
1.17,670231.94,Baltimore/Washington
1.18,57355.52,Boise
1.1,437771.89,Boston
1.54,106221.32,Buffalo/Rochester
0.92,6024932.34,California
1.26,159942.68,Charlotte
1.15,802874.94,Chicago
0.92,201392.27,Cincinnati/Dayton
0.97,125742.48,Columbus
0.76,1128693.04,Dallas/Ft. Worth
1.09,666579.35,Denver
1.08,332165.05,Detroit
1.03,185135.41,Grand Rapids
1.1,3067638.32,Great Lakes
1.26,178735.25,Harrisburg/Scranton
1.38,232640.15,Hartford/Springfield
0.78,1062071.65,Houston
1.25,138617.04,Indianapolis
1.2,99757.17,Jacksonville
0.93,274481.48,Las Vegas
0.85,2713699.6,Los Angeles
1.05,75129.36,Louisville
1.28,342796.99,Miami/Ft. Lauderdale
1.17,2335986.11,Midsouth
1.07,149832.2,Nashville
0.97,239232.35,New Orleans/Mobile
1.34,1018225.83,New York
1.28,3056024.77,Northeast
1.06,314717.03,Northern New England
1.29,202034.59,Orlando
1.38,315984.22,Philadelphia
0.61,1110753.05,Phoenix/Tucson
1.54,54644.32,Pittsburgh
1.09,1402841.83,Plains
1.05,510152.67,Portland
1.24,205760.67,Raleigh/Greensboro
1.15,194460.59,Richmond/Norfolk
1.16,113235.82,Roanoke
