average_price,total_volume,geography
1.79,1373.95,Albany
1.76,3846.69,Atlanta
1.29,19137.28,Baltimore/Washington
1.64,1505.12,Boise
1.83,2192.13,Boston
1.73,379.82,Buffalo/Rochester
1.24,142349.77,California
2.13,2965.62,Charlotte
1.49,17723.17,Chicago
1.34,8764.33,Cincinnati/Dayton
1.44,3930.94,Columbus
1.35,9895.96,Dallas/Ft. Worth
1.42,22480.07,Denver
1.7,7446.43,Detroit
1.6,1012.61,Grand Rapids
1.54,61615.1,Great Lakes
1.68,2896.72,Harrisburg/Scranton
2.32,4801.1,Hartford/Springfield
1.22,8938.32,Houston
1.63,1780.6,Indianapolis
1.81,1381.31,Jacksonville
1.5,6329.83,Las Vegas
1.25,54495.54,Los Angeles
1.48,1395.75,Louisville
1.82,2288.44,Miami/Ft. Lauderdale
1.56,58065.35,Midsouth
1.84,3966.0,Nashville
1.41,2604.25,New Orleans/Mobile
1.93,17328.24,New York
1.88,48280.46,Northeast
1.83,7301.3,Northern New England
1.8,2057.29,Orlando
1.72,3788.6,Philadelphia
1.12,17296.85,Phoenix/Tucson
1.81,1339.36,Pittsburgh
1.69,34190.37,Plains
1.28,32927.82,Portland
2.01,3397.0,Raleigh/Greensboro
1.54,4212.16,Richmond/Norfolk
1.39,4414.29,Roanoke
1.33,9213.49,Sacramento
1.23,19089.36,San Diego
1.18,22630.58,San Francisco
1.49,33795.91,Seattle
1.86,3351.76,South Carolina
1.35,53494.91,South Central
1.75,27365.89,Southeast
1.3,5782.7,Spokane
1.8,3597.07,St. Louis
1.72,593.39,Syracuse
1.7,1885.48,Tampa
1.46,612910.15,Total U.S.
1.4,187548.3,West
1.64,6182.81,West Tex/New Mexico
1.77,1182.56,Albany
1.84,3743.82,Atlanta
1.22,26008.88,Baltimore/Washington
1.44,2378.68,Boise
1.94,2217.82,Boston
1.59,2078.49,Buffalo/Rochester
1.1,158110.68,California
2.29,2390.22,Charlotte
1.79,12915.74,Chicago
1.32,11313.77,Cincinnati/Dayton
1.68,4193.17,Columbus
1.35,12126.63,Dallas/Ft. Worth
1.28,30682.77,Denver
1.87,6926.75,Detroit
1.87,761.86,Grand Rapids
1.69,58061.65,Great Lakes
1.65,3882.88,Harrisburg/Scranton
2.28,3463.61,Hartford/Springfield
1.26,7561.0,Houston
1.83,1410.31,Indianapolis
1.91,1248.89,Jacksonville
1.54,6144.55,Las Vegas
1.08,60232.63,Los Angeles
1.79,1435.48,Louisville
1.85,1614.56,Miami/Ft. Lauderdale
1.52,65483.08,Midsouth
1.92,2892.29,Nashville
1.44,1492.44,New Orleans/Mobile
2.03,14817.97,New York
1.86,50079.81,Northeast
1.88,6485.3,Northern New England
1.92,1610.6,Orlando
1.63,6715.18,Philadelphia
1.36,14035.18,Phoenix/Tucson
1.82,1663.25,Pittsburgh
1.68,37617.95,Plains
1.22,43116.44,Portland
1.98,3862.72,Raleigh/Greensboro
1.66,2914.35,Richmond/Norfolk
1.47,5128.06,Roanoke
1.27,7598.26,Sacramento
1.05,20089.52,San Diego
1.12,29676.78,San Francisco
1.46,46687.01,Seattle
2.06,2304.3,South Carolina
1.39,53328.53,South Central
1.83,23690.65,Southeast
1.38,4780.87,Spokane
1.84,3762.18,St. Louis
1.66,762.15,Syracuse
1.84,1258.62,Tampa
1.42,669528.88,Total U.S.
1.39,223156.55,West
1.69,6861.73,West Tex/New Mexico
1.93,1118.47,Albany
1.86,4294.01,Atlanta
1.41,14057.45,Baltimore/Washington
1.44,2973.94,Boise
2.0,2209.34,Boston
1.64,1426.87,Buffalo/Rochester
1.24,195207.6,California
2.15,2697.81,Charlotte
1.81,12499.87,Chicago
1.37,10051.4,Cincinnati/Dayton
1.84,4027.45,Columbus
1.28,12634.71,Dallas/Ft. Worth
1.1,42234.91,Denver
1.9,7656.72,Detroit
1.88,706.15,Grand Rapids
1.73,57646.9,Great Lakes
1.94,1355.5,Harrisburg/Scranton
2.35,2552.09,Hartford/Springfield
1.2,9979.64,Houston
1.96,1083.8,Indianapolis
1.82,1403.1,Jacksonville
1.63,6032.31,Las Vegas
1.29,43649.12,Los Angeles
1.79,1106.86,Louisville
1.87,1459.37,Miami/Ft. Lauderdale
1.65,52559.1,Midsouth
1.81,3118.58,Nashville
0.98,4739.17,New Orleans/Mobile
2.08,9204.78,New York
1.94,35304.15,Northeast
1.88,7618.91,Northern New England
1.79,2151.76,Orlando
1.93,1699.0,Philadelphia
1.36,12251.87,Phoenix/Tucson
1.55,3448.42,Pittsburgh
1.8,29669.53,Plains
1.24,51904.44,Portland
1.97,3496.27,Raleigh/Greensboro
1.62,3480.66,Richmond/Norfolk
1.48,5621.32,Roanoke
1.13,37233.34,Sacramento
1.29,14473.73,San Diego
1.27,41482.48,San Francisco
1.45,44616.23,Seattle
1.93,3024.32,South Carolina
1.27,65242.77,South Central
1.79,25740.0,Southeast
1.44,4363.13,Spokane
1.92,2923.4,St. Louis
1.84,627.8,Syracuse
1.73,1751.2,Tampa
1.42,713120.0,Total U.S.
1.33,251749.94,West
1.71,5508.2,West Tex/New Mexico
1.89,1115.89,Albany
1.87,3047.38,Atlanta
1.41,15387.74,Baltimore/Washington
1.82,1174.53,Boise
2.01,1948.28,Boston
1.6,1480.91,Buffalo/Rochester
1.3,121698.02,California
2.29,2694.11,Charlotte
1.83,10951.51,Chicago
1.26,10191.82,Cincinnati/Dayton
1.67,4847.86,Columbus
1.34,11247.71,Dallas/Ft. Worth
1.33,22502.5,Denver
1.62,8703.74,Detroit
2.01,711.52,Grand Rapids
1.63,59906.52,Great Lakes
1.8,2171.91,Harrisburg/Scranton
2.21,1920.19,Hartford/Springfield
1.24,11398.91,Houston
1.78,1221.24,Indianapolis
1.88,1140.32,Jacksonville
1.66,5758.68,Las Vegas
1.23,38078.07,Los Angeles
1.68,1201.46,Louisville
1.84,1648.84,Miami/Ft. Lauderdale
1.63,54932.83,Midsouth
1.71,4448.88,Nashville
1.47,1278.14,New Orleans/Mobile
2.02,14337.32,New York
1.92,40358.44,Northeast
1.9,6757.39,Northern New England
1.82,1925.46,Orlando
1.82,2888.62,Philadelphia
1.54,10849.4,Phoenix/Tucson
1.7,1441.14,Pittsburgh
1.8,30207.8,Plains
1.35,30862.91,Portland
2.02,3359.58,Raleigh/Greensboro
